Designator,Value,Package,MidX,MidY,Rotation,Layer
ANT1,KH-5020D245M0X,ANT_5020,57.95599,-34.257421,-90,top
C1,"1.8pF,50V",C_0402,53.476102,-31.21801,-45,top
C2,"1.8pF,50V",C_0402,52.044491,-34.007265,135,top
C3,"10uF,10V",C_0402,46.77999,-39.66601,90,top
C4,"100nF,50V",C_0402,38.14399,-31.79201,0,top
C5,"10uF,10V",C_0402,43.1292,-37.8968,180,top
C6,"10uF,10V",C_0402,44.74799,-31.28401,-45,top
C7,"100nF,50V",C_0402,49.67559,-30.77601,0,top
C8,"1uF,25V",C_0402,51.26202,-32.55401,-135,top
C9,"1uF,25V",C_0402,52.76062,-35.39881,-135,top
C10,"10nF,50V",C_0402,52.04942,-36.77041,135,top
C11,"100nF,50V",C_0402,43.22399,-31.28401,-45,top
C12,"15pF,50V",C_0402,54.39999,-40.93601,90,top
C13,"15pF,50V",C_0402,49.31999,-40.93601,-90,top
C14,"1uF,25V",C_0402,45.327631,-37.211421,135,top
C15,"100nF,50V",C_0402,43.87062,-36.46561,45,top
D1,1N5819WS,SOD-323F,48.04999,-40.30101,-90,top
J1,USB_C_Receptacle_USB2.0_DIP,"USB_DIP,8.94x7.3mm",34.18969,-36.11001,-90,top
L1,"2.7nH,500mA,100mR",L_0402,52.755691,-32.617243,-135,top
L2,"2.7nH,500mA,100mR",L_0402,51.60599,-30.77601,0,top
LED1,"LED,0603,Red",LED_0603_Red,30.65099,-41.95201,0,top
LED2,"LED,0603,White",LED_0603_White,30.65099,-30.26801,0,top
R1,"5.1KR,1%",R_0402,38.39799,-34.07801,90,top
R2,"5.1KR,1%",R_0402,38.39799,-38.37001,-90,top
R3,"33R,1%",R_0402,38.65199,-36.66881,0,top
R4,"33R,1%",R_0402,38.65199,-35.60201,0,top
R5,"10KR,1%",R_0402,38.39799,-40.93601,-90,top
R6,"10KR,1%",R_0402,38.14399,-30.72521,0,top
R7,"5.1KR,1%",R_0402,33.545193,-41.44401,180,top
R8,"5.1KR,1%",R_0402,33.57199,-30.77601,0,top
R9,"10KR,1%",R_0402,43.22399,-32.80801,-45,top
R10,"10KR,1%",R_0402,43.22399,-34.33201,-45,top
SW1,TS-1088-AR02016,TS-1088-AR020,40.60779,-32.98581,90,top
SW2,TS-1088-AR02016,TS-1088-AR020,40.60779,-39.23421,-90,top
U1,LP5907MFX-3.3/NOPB,SOT-23-5,44.19189,-40.099421,0,top
U2,ESP32-C3FH4,QFN-32-EP(5x5),48.001609,-34.896451,-135,top
Y1,40MHz,SMD-3225_4P,51.85999,-40.17401,180,top